title,drug,lng,lat,enrollment,status,locations,popuptext
A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia,Tocilizumab,-3.6873977,40.4811633,450,"Active, not recruiting","Hospital Universitario La Paz, Madrid, Spain","<b>A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia</b><br /><i>Active, not recruiting, n = 450</i><br />Hospital Universitario La Paz, Madrid, Spain"
A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia,Tocilizumab,-3.6951156,40.48760430000001,450,"Active, not recruiting","Hospital Universitario Ramon y Cajal, Madrid, Spain","<b>A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia</b><br /><i>Active, not recruiting, n = 450</i><br />Hospital Universitario Ramon y Cajal, Madrid, Spain"
A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia,Tocilizumab,-3.6724986,40.4185038,450,"Active, not recruiting","Hospital General Universitario Gregorio Maranon, Madrid, Spain","<b>A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia</b><br /><i>Active, not recruiting, n = 450</i><br />Hospital General Universitario Gregorio Maranon, Madrid, Spain"
A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia,Tocilizumab,-3.6667259,40.4902031,450,"Active, not recruiting","Hospital Universitario HM Sanchinarro-CIOCC, Madrid, Spain","<b>A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia</b><br /><i>Active, not recruiting, n = 450</i><br />Hospital Universitario HM Sanchinarro-CIOCC, Madrid, Spain"
A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia,Tocilizumab,-4.321016,55.883619,450,"Active, not recruiting","Greater Glasgow and Clyde Health Board, Glasgow, United Kingdom","<b>A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia</b><br /><i>Active, not recruiting, n = 450</i><br />Greater Glasgow and Clyde Health Board, Glasgow, United Kingdom"
A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia,Tocilizumab,-1.5528918,53.8025196,450,"Active, not recruiting","Leeds Teaching Hospitals NHS Trust, Leeds, United Kingdom","<b>A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia</b><br /><i>Active, not recruiting, n = 450</i><br />Leeds Teaching Hospitals NHS Trust, Leeds, United Kingdom"
A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia,Tocilizumab,-0.1363551,51.5250834,450,"Active, not recruiting","University College Hospital, London, United Kingdom","<b>A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia</b><br /><i>Active, not recruiting, n = 450</i><br />University College Hospital, London, United Kingdom"
A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia,Tocilizumab,-0.1659994,51.55314749999999,450,"Active, not recruiting","Royal Free Hospital, London, United Kingdom","<b>A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia</b><br /><i>Active, not recruiting, n = 450</i><br />Royal Free Hospital, London, United Kingdom"
A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia,Tocilizumab,-0.2343059,51.516825,450,"Active, not recruiting","St George's Clinical Research Facility, London, United Kingdom","<b>A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia</b><br /><i>Active, not recruiting, n = 450</i><br />St George's Clinical Research Facility, London, United Kingdom"
A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia,Tocilizumab,-0.1748772,51.49879970000001,450,"Active, not recruiting","Imperial College London, London, United Kingdom","<b>A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia</b><br /><i>Active, not recruiting, n = 450</i><br />Imperial College London, London, United Kingdom"
A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia,Tocilizumab,-2.2301193,53.5184925,450,"Active, not recruiting","North Manchester General Hospital, Manchester, United Kingdom","<b>A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia</b><br /><i>Active, not recruiting, n = 450</i><br />North Manchester General Hospital, Manchester, United Kingdom"
A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia,Tocilizumab,-2.3238955,53.487482,450,"Active, not recruiting","Salford Royal Hospital, Salford, United Kingdom","<b>A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia</b><br /><i>Active, not recruiting, n = 450</i><br />Salford Royal Hospital, Salford, United Kingdom"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-111.9544986,33.6583608,100,Recruiting,"Mayo Clinic - Arizona, Phoenix, Arizona, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />Mayo Clinic - Arizona, Phoenix, Arizona, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-110.9461054,32.2410865,100,Recruiting,"Univ of AZ Coll of Med, Tucson, Arizona, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />Univ of AZ Coll of Med, Tucson, Arizona, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-117.9272201,33.8943451,100,Recruiting,"St. Jude Medical Center, Fullerton, California, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />St. Jude Medical Center, Fullerton, California, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-118.2075585,34.0575334,100,Recruiting,"LAC + USC Medical Center, Los Angeles, California, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />LAC + USC Medical Center, Los Angeles, California, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-118.2016181,34.0621498,100,Recruiting,"USC Keck Medical Center of USC, Los Angeles, California, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />USC Keck Medical Center of USC, Los Angeles, California, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-73.42227489999999,41.1117461,100,Recruiting,"Norwalk Hospital, Norwalk, Connecticut, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />Norwalk Hospital, Norwalk, Connecticut, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-77.0751693,38.911464,100,Recruiting,"Medstar Georgetown University Hospital, Washington, District of Columbia, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />Medstar Georgetown University Hospital, Washington, District of Columbia, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-81.6634784,30.347113,100,Recruiting,"University of Florida; Health Science Center, Jacksonville, Florida, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />University of Florida; Health Science Center, Jacksonville, Florida, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-81.44514559999999,30.2626481,100,Recruiting,"Mayo Clinic, Jacksonville, Florida, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />Mayo Clinic, Jacksonville, Florida, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-87.73278239999999,41.7217943,100,Recruiting,"Advocate Christ Medical Center, Oak Lawn, Illinois, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />Advocate Christ Medical Center, Oak Lawn, Illinois, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-87.8476325,42.0385102,100,Recruiting,"Advocate Lutheran General Hospital, Park Ridge, Illinois, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />Advocate Lutheran General Hospital, Park Ridge, Illinois, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-90.18101709999999,30.01050529999999,100,Recruiting,"MedPharmics, Metairie, Louisiana, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />MedPharmics, Metairie, Louisiana, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-76.6257057,39.2892017,100,Recruiting,"University of Maryland, Baltimore, Maryland, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />University of Maryland, Baltimore, Maryland, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-119.7952114,39.52552,100,Recruiting,"Renown Institute for Heart & Vascular Health, Reno, Nevada, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />Renown Institute for Heart & Vascular Health, Reno, Nevada, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-74.1653704,40.9028953,100,Recruiting,"St Joseph's Regional Medical Center, Wayne, New Jersey, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />St Joseph's Regional Medical Center, Wayne, New Jersey, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-73.9456988,40.65529340000001,100,Recruiting,"SUNY Downstate Medical Center., Brooklyn, New York, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />SUNY Downstate Medical Center., Brooklyn, New York, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-73.8166244,40.7003783,100,Recruiting,"Jamaica Hospital Medical Center, Jamaica, New York, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />Jamaica Hospital Medical Center, Jamaica, New York, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-73.9357942,41.6943079,100,Recruiting,"Vassar Brothers Medical Center, Poughkeepsie, New York, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />Vassar Brothers Medical Center, Poughkeepsie, New York, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-80.2791958,36.1355052,100,Recruiting,"Wake Forest University Health Sciences, Winston-Salem, North Carolina, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />Wake Forest University Health Sciences, Winston-Salem, North Carolina, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-81.6060645,41.5052505,100,Recruiting,"University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-83.54290449999999,41.6686144,100,Recruiting,"Mercy St. Vincent Medical Center, Toledo, Ohio, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />Mercy St. Vincent Medical Center, Toledo, Ohio, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-75.5241629,40.5667553,100,Recruiting,"Lehigh Valley Health Network, Allentown, Pennsylvania, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />Lehigh Valley Health Network, Allentown, Pennsylvania, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-75.1507582,40.0050435,100,Recruiting,"Temple University Hospital, Philadelphia, Pennsylvania, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />Temple University Hospital, Philadelphia, Pennsylvania, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-80.00403179999999,40.4425172,100,Recruiting,"Allegheny Health Network (Pittsburg PA), Pittsburgh, Pennsylvania, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />Allegheny Health Network (Pittsburg PA), Pittsburgh, Pennsylvania, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-79.9478413,32.7850493,100,Recruiting,"Medical University of South Carolina, Charleston, South Carolina, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />Medical University of South Carolina, Charleston, South Carolina, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-95.399568,29.7106626,100,Recruiting,"Houston Methodist Hospital, Houston, Texas, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />Houston Methodist Hospital, Houston, Texas, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-95.3889518,29.702086,100,Recruiting,"Michael E. DeBakey VA Medical Center, Houston, Texas, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />Michael E. DeBakey VA Medical Center, Houston, Texas, United States"
A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,Tocilizumab,-95.6309922,29.5891707,100,Recruiting,"Houston Methodist Sugar Land Hospital, Sugar Land, Texas, United States","<b>A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia</b><br /><i>Recruiting, n = 100</i><br />Houston Methodist Sugar Land Hospital, Sugar Land, Texas, United States"
"A Study in Patients With COVID-19 and Respiratory Distress Not Requiring Mechanical Ventilation, to Compare Standard-of-care With Anakinra and Tocilizumab Treatment The Immunomodulation-CoV Assessment (ImmCoVA) Study",Tocilizumab,18.030376,59.3482904,120,Not yet recruiting,"Karolinska University Hospital, Huddinge, Stockholm, Sweden","<b>A Study in Patients With COVID-19 and Respiratory Distress Not Requiring Mechanical Ventilation, to Compare Standard-of-care With Anakinra and Tocilizumab Treatment The Immunomodulation-CoV Assessment (ImmCoVA) Study</b><br /><i>Not yet recruiting, n = 120</i><br />Karolinska University Hospital, Huddinge, Stockholm, Sweden"
A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia,Tocilizumab,-117.024154,32.6172649,450,Not yet recruiting,"eStudySite - Chula Vista - PPDS, Chula Vista, California, United States","<b>A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia</b><br /><i>Not yet recruiting, n = 450</i><br />eStudySite - Chula Vista - PPDS, Chula Vista, California, United States"
A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia,Tocilizumab,-90.1139717,30.0206297,450,Not yet recruiting,"Ochsner Clinic Foundation, New Orleans, Louisiana, United States","<b>A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia</b><br /><i>Not yet recruiting, n = 450</i><br />Ochsner Clinic Foundation, New Orleans, Louisiana, United States"
A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia,Tocilizumab,-93.7608764,32.4807365,450,Not yet recruiting,"Louisiana State University Health Sciences Center/Ochsner, Shreveport, Louisiana, United States","<b>A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia</b><br /><i>Not yet recruiting, n = 450</i><br />Louisiana State University Health Sciences Center/Ochsner, Shreveport, Louisiana, United States"
A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia,Tocilizumab,-71.0731311,42.3344959,450,Not yet recruiting,"Boston Medical Center, Boston, Massachusetts, United States","<b>A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia</b><br /><i>Not yet recruiting, n = 450</i><br />Boston Medical Center, Boston, Massachusetts, United States"
A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia,Tocilizumab,-72.6037013,42.1216158,450,Not yet recruiting,"Baystate Medical Center, Springfield, Massachusetts, United States","<b>A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia</b><br /><i>Not yet recruiting, n = 450</i><br />Baystate Medical Center, Springfield, Massachusetts, United States"
A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia,Tocilizumab,-74.17522029999999,40.7443458,450,Not yet recruiting,"St. Michael'S Medical Center, Newark, New Jersey, United States","<b>A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia</b><br /><i>Not yet recruiting, n = 450</i><br />St. Michael'S Medical Center, Newark, New Jersey, United States"
A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia,Tocilizumab,-111.87937,40.778402,450,Not yet recruiting,"Intermountain LDS Hospital, Salt Lake City, Utah, United States","<b>A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia</b><br /><i>Not yet recruiting, n = 450</i><br />Intermountain LDS Hospital, Salt Lake City, Utah, United States"
Tocilizumab for the Treatment of Cytokine Release Syndrome in Patients With COVID-19 (SARS-CoV-2 Infection),Tocilizumab,-84.3194393,33.7928615,180,Recruiting,"Emory University Hospital/Winship Cancer Institute, Atlanta, Georgia, United States","<b>Tocilizumab for the Treatment of Cytokine Release Syndrome in Patients With COVID-19 (SARS-CoV-2 Infection)</b><br /><i>Recruiting, n = 180</i><br />Emory University Hospital/Winship Cancer Institute, Atlanta, Georgia, United States"
Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction,Tocilizumab,23.6653306,38.01659799999999,40,Recruiting,"2nd Department of Critical Care Medicine, ATTIKON University Hospital, Athens, Haidari, Greece","<b>Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction</b><br /><i>Recruiting, n = 40</i><br />2nd Department of Critical Care Medicine, ATTIKON University Hospital, Athens, Haidari, Greece"
Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction,Tocilizumab,20.8424173,39.620779,40,Recruiting,"Intensive Care Unit, Ioannina University Hospital, Ioánnina, Ioannina, Greece","<b>Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction</b><br /><i>Recruiting, n = 40</i><br />Intensive Care Unit, Ioannina University Hospital, Ioánnina, Ioannina, Greece"
Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction,Tocilizumab,21.7950459,38.2945759,40,Recruiting,"Department of Internal Medicine, Patras University Hospital, Patras, Rion, Greece","<b>Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction</b><br /><i>Recruiting, n = 40</i><br />Department of Internal Medicine, Patras University Hospital, Patras, Rion, Greece"
Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction,Tocilizumab,23.7315473,38.014229,40,Recruiting,"Department of Internal Medicine, I PAMMAKARISTOS Hospital, Athens, Greece","<b>Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction</b><br /><i>Recruiting, n = 40</i><br />Department of Internal Medicine, I PAMMAKARISTOS Hospital, Athens, Greece"
Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction,Tocilizumab,23.769038,37.992309,40,Recruiting,"Intensive Care Unit, General Hospital of Athens KORGIALENIO-BENAKIO E.E.S., Athens, Greece","<b>Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction</b><br /><i>Recruiting, n = 40</i><br />Intensive Care Unit, General Hospital of Athens KORGIALENIO-BENAKIO E.E.S., Athens, Greece"
Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction,Tocilizumab,23.7275388,37.9838096,40,Recruiting,"1st Department of Pulmonary Medicine and Intensive Care Unit, Athens, Greece","<b>Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction</b><br /><i>Recruiting, n = 40</i><br />1st Department of Pulmonary Medicine and Intensive Care Unit, Athens, Greece"
Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction,Tocilizumab,23.75975,37.9836396,40,Recruiting,"Intensive Care Unit, General Hospital of Athens IPPOKRATEIO, Athens, Greece","<b>Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction</b><br /><i>Recruiting, n = 40</i><br />Intensive Care Unit, General Hospital of Athens IPPOKRATEIO, Athens, Greece"
Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction,Tocilizumab,23.6653306,38.01659799999999,40,Recruiting,"4th Department of Internal Medicine, Attikon University Hospital, Athens, Greece","<b>Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction</b><br /><i>Recruiting, n = 40</i><br />4th Department of Internal Medicine, Attikon University Hospital, Athens, Greece"
Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction,Tocilizumab,23.7547649,37.84808719999999,40,Recruiting,"Intensive Care Unit, General Hospital ASKLEPIEIO Voulas, Athens, Greece","<b>Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction</b><br /><i>Recruiting, n = 40</i><br />Intensive Care Unit, General Hospital ASKLEPIEIO Voulas, Athens, Greece"
Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction,Tocilizumab,23.5323004,38.071821,40,Recruiting,"Intensive Care Unit, ""Latsio"", Thriasio Elefsis General Hospital, Elefsína, Greece","<b>Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction</b><br /><i>Recruiting, n = 40</i><br />Intensive Care Unit, ""Latsio"", Thriasio Elefsis General Hospital, Elefsína, Greece"
Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction,Tocilizumab,NA,NA,40,Recruiting,"Intensive Care Unit, ""Koutlimbaneio & Triantafylleio"" Larissa General Hospital, Larissa, Greece","<b>Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction</b><br /><i>Recruiting, n = 40</i><br />Intensive Care Unit, ""Koutlimbaneio & Triantafylleio"" Larissa General Hospital, Larissa, Greece"
Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction,Tocilizumab,22.4191254,39.63902239999999,40,Recruiting,"Department of Internal Medicine, Larissa University Hospital, Larissa, Greece","<b>Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction</b><br /><i>Recruiting, n = 40</i><br />Department of Internal Medicine, Larissa University Hospital, Larissa, Greece"
Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction,Tocilizumab,23.7295198,37.93572109999999,40,Recruiting,"Intensive Care Unit, AGIOS DIMITRIOS General Hospital of Thessaloniki, Thessaloniki, Greece","<b>Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction</b><br /><i>Recruiting, n = 40</i><br />Intensive Care Unit, AGIOS DIMITRIOS General Hospital of Thessaloniki, Thessaloniki, Greece"
Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction,Tocilizumab,22.9586356,40.6372887,40,Recruiting,"Intensive Care Unit, G. GENNIMATAS General Hospital of Thessaloniki, Thessaloniki, Greece","<b>Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction</b><br /><i>Recruiting, n = 40</i><br />Intensive Care Unit, G. GENNIMATAS General Hospital of Thessaloniki, Thessaloniki, Greece"
Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction,Tocilizumab,22.9444191,40.6400629,40,Recruiting,"Intensive Care Unit, Theageneio Oncological Hospital of Thessaloniki, Thessaloniki, Greece","<b>Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction</b><br /><i>Recruiting, n = 40</i><br />Intensive Care Unit, Theageneio Oncological Hospital of Thessaloniki, Thessaloniki, Greece"
